Item,PK,Category,Name,Description,Image
69,109,Bosch GLM 120 C,Misuratore Laser (Telemetro),/media/part_images/get19.jpg
70,64,Bosch GSA 12V-14,SEGA UNIVERSALE A BATTERIA,/media/part_images/Screenshot_2023-04-15_105358.jpg
71,103,Bosch GSR 18V-21,Avvitatore 18v,/media/part_images/get16.jpg
72,97,Bosch GWS750-115,Smerigliatrice angolare,/media/part_images/get49.png
73,80,Bosch pbs75ae,Levigatrice a nastro,/media/part_images/get04.jpg
74,76,Bosch pks40,Sega circolare portatile,/media/part_images/get50.png
75,77,Bosch pof1200ae,Fresatrice verticale,/media/part_images/get07.jpg
76,92,Bosch PSR 960,Avvitatore,/media/part_images/get12.jpg
77,439,BRAKE CALIPER FRONT LEFT 1300-1600 (67-93),Pinza freno anteriore SX Alfa Romeo Giulia GT 1.3 Junior,/media/part_images/Screenshot_2024-09-15_082145.png
78,440,BRAKE CALIPER FRONT RIGHT 1300-1600 (67-93),Pinza freno anteriore DX Alfa Romeo Giulia GT 1.3 Junior,/media/part_images/Screenshot_2024-09-15_082145_WF9Xssb.png
79,443,BRAKE DISC FRONT 1300-1600 (only as a set),Dischi freno anteriori Alfa Romeo Giulia GT 1.3 Junior,/media/part_images/Screenshot_2024-09-15_082910.png
80,441,BRAKE PADS FERODO 1300-1600 front,Pastiglie freno anteriori Giulia GT Jiunio,/media/part_images/Screenshot_2024-09-15_082426.png
81,366,Brass G1/2  Female-Female Thread Connector Elbow Copper,Brass G1/2  Female-Female Thread Connector Elbow Copper,/media/part_images/Screenshot_2024-06-08_102257.png
82,290,Brass Insert Nut Set M2>M5,Brass Insert Nut Set Hot Melt Knurled Thread Heat Injection Molding Embedment Copper Nut M2 M2.5 M3 M4 M5 M6 for Attach 3D Print,/media/part_images/Screenshot_2024-01-13_093226.png
83,289,Brass Insert Nut Set M3,Brass Insert Nut Set Hot Melt Knurled Thread Heat Injection Molding Embedment Copper Nut M2 M2.5 M3 M4 M5 M6 for Attach 3D Print,/media/part_images/Screenshot_2024-01-13_093153.png
84,6,Braun ThermoScan 7+,Termometro digitale per febbre,/media/part_images/irt6520_hero_front_1000x1000_16.jpg
85,184,C_1000uf_35V_th,Electrolitic capacitor,/media/part_images/z5jngp3j.png
86,192,C_100nF_50V_805,Ceramic capacitor,/media/part_images/100nf-50v-10-x7r-805-smd-kondansator-en-805-sheath-smd-capacitors-samsung-35070-12-B.jpg
87,187,C_100nF_50V_th,Ceramic capacitor,/media/part_images/get_rbyUrYi.jpg
88,678,C_10uF_16V_805,0805 SMD Capacitor ±10% X7R 16V 10uF,/media/part_images/Screenshot_2025-01-11_092312.png
89,191,C_10uF_50V_805,Ceramic capacitor,/media/part_images/100nf-50v-10-x7r-805-smd-kondansator-en-805-sheath-smd-capacitors-samsung-35070-12-B.jpg
90,189,C_1500uF_16V_th,Electrolitic capacitor,/media/part_images/get_2.jpg
91,679,C_1uF_25V_805,0805 SMD Capacitor ±10% X7R 25V 1uF,/media/part_images/Screenshot_2025-01-11_092312.png
92,193,C_2200uf_16V_th,Electrolitic capacitor,/media/part_images/z5jngp3j.png
93,195,C_22uf_400V_th,Electrolitic capacitor,/media/part_images/z5jngp3j.png
94,188,C_270uF_16V_th,Electrolitic capacitor,/media/part_images/get_1.jpg
95,194,C_3300uf_16V_th,Electrolitic capacitor,/media/part_images/z5jngp3j.png
96,186,C_47uF_25V_th,Electrolitic capacitor,/media/part_images/cap_1.jpg
97,485,cable for CCTV IP camera board - power supply -LAN (no POE) black,cable for CCTV IP camera board - power supply -LAN (no POE) black,/media/part_images/Screenshot_2024-10-18_182215.png
98,247,CADMouse,3DConnexion Mouse Wireless,/media/part_images/main_header_cmpw.jpg
99,209,Captiva R57-197,Desktop PC (NUC i7 replacement),/media/part_images/images.jpg
100,445,Car Interior Roof Lights 12V 36 LED Bulbs White,Car Interior Roof Lights 12V 36 LED Bulbs White,/media/part_images/Screenshot_2024-09-22_074704.png
101,132,Carrello Spandiconcime,Carrello Spandiconcime prato Professionale 25 lt,/media/part_images/Screenshot_2023-04-22_080924.jpg
102,273,Cavo 2x0.32 mmq (22AWG),100FT/30M 22 Gauge 2 Conduttori 22AWG Cavo Elettrico 2x0,32mm² 0,46mm²-Esterno Cavo LED a Bassa Tensione in Rame Stagnato Esterno per Strisce LED Lampade Llluminazione Automobilistica,/media/part_images/61l-TlmEksL._SX522_.jpg
103,310,Cavo GD H05RR-F Nero 3 x 1,0 mm²,Cavo gomma 3x1,/media/part_images/Screenshot_2024-03-24_151148.png
104,311,Cavo GD H05RR-F Nero 3 x 1,5 mm²,Cavo gomma 3x1.5,/media/part_images/Screenshot_2024-03-24_151148_H4cyz7C.png
105,278,CAVO SCHERMATO FR2OHH2R 4G1,5 4x1,5 mm²,CAVO SCHERMATO FR2OHH2R 4G1,5 4x1,5 mm² GOMMATO ANTIFIAMMA QUADRIPOLARE FLESSIBILE 4 POLI 10 METRI - MARCA ELETTRO CAVI K,/media/part_images/61vgr-XS5OL._SX522__56stWYE.jpg
106,277,CAVO SCHERMATO FR2OHH2R 4x1 mm²,CAVO SCHERMATO FR2OHH2R 4x1 mm² GOMMATO ANTIFIAMMA QUADRIPOLARE FLESSIBILE 4 POLI 10 METRI - MARCA ELETTRO CAVI K,/media/part_images/61vgr-XS5OL._SX522_.jpg
107,159,C-Clamp Pliers,11" inch Face Clamp Locking C-Clamp Pliers Easy Quick Release For Dowelling Jig and Pocket Hole Jig Woodwork Construction Joint,/media/part_images/Ubb9053d281254ff9859b2098b982aae9e_1.jpg
108,436,CLAMP GEARBOX RUBBER GAITER BIG,Anello fissaggio cuffia in gomma grande,/media/part_images/Screenshot_2024-09-14_074608.png
109,435,CLAMP GEARBOX RUBBER GAITER SMALL,Anello fissaggio cuffia in gomma piccolo,/media/part_images/Screenshot_2024-09-14_074427.png
110,135,CNC 4 Axis MPG Pendant Handwheel With E-stop Emergency,CNC 4 Axis 6 Axis MPG Pendant Handwheel With E-stop Emergency,/media/part_images/S60f14e2451fa4b80905b5a769fb6ab67o.jpg
111,111,CNC 6090,Router CNC 6090,/media/part_images/get20.jpg
