name,description,category,IPN,revision,keywords,units,link,active,virtual,assembly,component,purchaseable,salable,trackable,notes,variant_of,is_template,responsible,default_location,default_supplier,default_expiry,minimum_stock,bom,parameters,attachments,owner,image_path
R_100R ohm 1%_805,R_100R ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_120R ohm 1%_805,R_120R ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_150R ohm 1%_805,R_150R ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_200R ohm 1%_805,R_200R ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_220R ohm 1%_805,R_220R ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_240R ohm 1%_805,R_240R ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_270R ohm 1%_805,R_270R ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_300R ohm 1%_805,R_300R ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_330R ohm 1%_805,R_330R ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_390R ohm 1%_805,R_390R ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_470R ohm 1%_805,R_470R ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_510R ohm 1%_805,R_510R ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_560R ohm 1%_805,R_560R ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_680R ohm 1%_805,R_680R ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_750R ohm 1%_805,R_750R ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_820R ohm 1%_805,R_820R ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_910R ohm 1%_805,R_910R ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_1K ohm 1%_805,R_1K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_1.2K ohm 1%_805,R_1.2K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_1.5K ohm 1%_805,R_1.5K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_2K ohm 1%_805,R_2K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_2.2K ohm 1%_805,R_2.2K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_2.4K ohm 1%_805,R_2.4K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_2.7K ohm 1%_805,R_2.7K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
